Satellite name,POI name,Start time (UTC),Stop time (UTC),Duration (s)
Sentinel-1-1,Toulouse,2024-07-10 03:46:40,2024-07-10 03:53:20,400
Sentinel-1-1,Toulouse,2024-07-10 05:36:40,2024-07-10 05:45:00,500
Sentinel-1-1,Toulouse,2024-07-10 07:28:20,2024-07-10 07:35:00,400
Sentinel-1-1,Toulouse,2024-07-10 09:20:00,2024-07-10 09:23:20,200
Sentinel-1-1,Lisbonne,2024-07-10 03:43:20,2024-07-10 03:50:00,400
Sentinel-1-1,Lisbonne,2024-07-10 05:33:20,2024-07-10 05:41:40,500
Sentinel-1-1,Lisbonne,2024-07-10 07:25:00,2024-07-10 07:33:20,500
Sentinel-1-1,Lisbonne,2024-07-10 09:16:40,2024-07-10 09:25:00,500
