Satellite name,Ground Station name,Start time (UTC),Stop time (UTC),Duration (s),Data received (Mb)
eccentricity-1-1,Vladivostok,2024-07-10 00:48:20,2024-07-10 06:46:40,21500,18796.644806837245
eccentricity-1-1,Vladivostok,2024-07-10 11:56:40,2024-07-10 12:56:40,3600,3147.3451769587946
