Satellite name,POI name,Start time (UTC),Stop time (UTC),Duration (s),Mean solar elevation (°)
Sat-2-1,France,2024-09-12 12:31:40,2024-09-12 12:31:40,0,33.27771959459193
Sat-2-1,France,2024-09-12 23:03:20,2024-09-12 23:06:40,200,-35.916130786535746
Sat-2-1,Zone1,2024-09-12 02:46:40,2024-09-12 02:48:20,100,-27.07744479332031
