Satellite name,Ground Station name,Start time (UTC),Stop time (UTC),Duration (s),Data received (Mb)
Sat-2-1,Miami,2024-09-12 04:16:40,2024-09-12 04:18:20,100,454.14311119230524
Sat-2-1,Miami,2024-09-12 05:46:40,2024-09-12 05:51:40,300,1362.4293335769157
Sat-2-1,Miami,2024-09-12 17:15:00,2024-09-12 17:21:40,400,1816.572444769221
